2019-564;2019;Long métrage;VILLA CAPRICE;BERNARD STORA;JPG FILMS;63 quai branly, 75007 paris;75007;2019-06-04;2019-06-05;2.2955745;48.86036433;"{""type"": ""Point"", ""coordinates"": [2.2955744957986868, 48.86036432657526]}";48.8603643266,2.2955744958
2019-566;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;59 rue claude decaen, 75012 paris;75012;2019-05-30;2019-05-30;2.39800084;48.83693269;"{""type"": ""Point"", ""coordinates"": [2.398000838590899, 48.836932693115415]}";48.8369326931,2.39800083859
2019-567;2019;Série TV;The Eddy;Damien Chazelle;atlantique productions;rue claude decaen, 75012 paris;75012;2019-05-31;2019-06-01;2.39770468;48.83723057;"{""type"": ""Point"", ""coordinates"": [2.397704682635515, 48.83723057315401]}";48.8372305732,2.39770468264
2019-587;2019;Long métrage;THE HUNTING;LEO ZHANG;SWEET DREAMS FILMS;85 rue du faubourg saint-denis, 75010 paris;75010;2019-06-05;2019-06-05;2.35483698;48.87365403;"{""type"": ""Point"", ""coordinates"": [2.354836977579875, 48.873654031488236]}";48.8736540315,2.35483697758
2019-1552;2019;Série TV;Dix pour cent - Saison 4;Antoine GARCEAU - Marc FITOUSSI;Mon Voisin productions;rue de furstemberg, 75006 paris;75006;2019-11-19;2019-11-20;2.33572088;48.85438486;"{""type"": ""Point"", ""coordinates"": [2.335720884953372, 48.854384863305874]}";48.8543848633,2.33572088495
2019-1554;2019;Série TV;MODERN FAMILY 11;Jim Bagdonas;FROGGIE PRODUCTION;3 quai de montebello, 75005 paris;75005;2019-11-15;2019-11-15;2.34995354;48.85148189;"{""type"": ""Point"", ""coordinates"": [2.349953539162914, 48.85148188643522]}";48.8514818864,2.34995353916
2019-1567;2019;Série TV;Alice NEVERS;julien ZIDI;EGO PRoductions;74 quai des orfèvres, 75001 paris;75001;2019-11-16;2019-11-17;2.34150793;48.85678842;"{""type"": ""Point"", ""coordinates"": [2.341507929023692, 48.85678841728761]}";48.8567884173,2.34150792902
2019-1573;2019;Long métrage;TROP D'AMOUR;Frankie WALLACH;EX NIHILO;place de la fontaine timbaud, 75011 paris;75011;2019-11-20;2019-11-20;2.37134336;48.86616491;"{""type"": ""Point"", ""coordinates"": [2.371343355670967, 48.86616491239837]}";48.8661649124,2.37134335567
2017-79;2017;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;rue du faubourg saint-denis, 75010 paris;75010;2017-03-16;2017-03-16;2.3560512;48.87585783;"{""type"": ""Point"", ""coordinates"": [2.35605119524243, 48.875857827450034]}";48.8758578275,2.35605119524
2017-82;2017;Long métrage;Les dents, pipi, au lit.;Emmanuel Gillibert;CG Cinéma;5 rue du huit mai 1945, 75010 paris;75010;2017-03-16;2017-03-16;2.35876596;48.87594953;"{""type"": ""Point"", ""coordinates"": [2.358765959464135, 48.87594952721146]}";48.8759495272,2.35876595946
2017-92;2017;Long métrage;BIG BANG;Cécilia Rouaud;FIRELIGHT Big Bang;rue botzaris, 75019 paris;75019;2017-03-22;2017-03-22;2.3824194800000003;48.87876467;"{""type"": ""Point"", ""coordinates"": [2.382419480364509, 48.87876466612063]}";48.8787646661,2.38241948036
2017-95;2017;Long métrage;GARDE ALTERNEE;Alexandra LECLERE;PAN EUROPEENNE;7 rue du jourdain, 75020 paris;75020;2017-03-16;2017-03-16;2.38927164;48.8747952;"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}";48.8747952038,2.38927164484
2017-190;2017;Série Web;LOULOU;GERALDINE DE MARGERIE;La Onda productions;1 rue des montiboeufs, 75020 paris;75020;2017-03-23;2017-03-24;2.40574025;48.86613519;"{""type"": ""Point"", ""coordinates"": [2.405740249771246, 48.86613518817533]}";48.8661351882,2.40574024977
2017-197;2017;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;2 rue turgot, 75009 paris;75009;2017-04-03;2017-04-03;2.34563865;48.87988847;"{""type"": ""Point"", ""coordinates"": [2.345638651005026, 48.87988846874771]}";48.8798884687,2.34563865101
2017-205;2017;Long métrage;Un Cadeau du Ciel;Alain Chabat;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-23;2017-03-24;2.35359686;48.85869705;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051
2017-206;2017;Série TV;CHRONIQUES PARISIENNES 12;ZABOU BREITMAN;LES FILMS DU KIOSQUE;105 rue de tolbiac, 75013 paris;75013;2017-03-22;2017-03-22;2.36469941;48.82661228;"{""type"": ""Point"", ""coordinates"": [2.36469941487311, 48.82661227982868]}";48.8266122798,2.36469941487
2017-232;2017;Long métrage;Jean-François;Sergi Portabella;Surprise Alley;172 boulevard saint-germain, 75006 paris;75006;2017-04-10;2017-04-10;2.33256066;48.85413489;"{""type"": ""Point"", ""coordinates"": [2.332560661293841, 48.85413488409174]}";48.8541348841,2.33256066129
2017-255;2017;Long métrage;GARDE ALTERNEE;ALEXANDRA LECLERE;PAN EUROPEENNE;place de la sorbonne, 75005 paris;75005;2017-04-10;2017-04-10;2.3422599;48.84866092;"{""type"": ""Point"", ""coordinates"": [2.342259900202478, 48.84866091566869]}";48.8486609157,2.3422599002
2017-256;2017;Long métrage;Un cadeau du ciel;;Légendaire;20 rue du temple, 75004 paris;75004;2017-03-29;2017-03-30;2.35359686;48.85869705;"{""type"": ""Point"", ""coordinates"": [2.353596860505125, 48.85869704542109]}";48.8586970454,2.35359686051
2017-127;2017;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;7 rue gomboust, 75001 paris;75001;2017-03-14;2017-03-14;2.33270277;48.86731081;"{""type"": ""Point"", ""coordinates"": [2.332702765483341, 48.86731080761644]}";48.8673108076,2.33270276548
2017-5;2017;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;55 rue baudricourt, 75013 paris;75013;2017-02-13;2017-02-13;2.3631352;48.82577113;"{""type"": ""Point"", ""coordinates"": [2.363135199592029, 48.82577113005028]}";48.8257711301,2.36313519959
2017-21;2017;Long métrage;UN CADEAU DU CIEL;Alain Chabat;legendaire;place blanche, 75009 paris;75009;2017-02-28;2017-03-01;2.33240846;48.88362939;"{""type"": ""Point"", ""coordinates"": [2.332408458012074, 48.883629393823945]}";48.8836293938,2.33240845801
2017-39;2017;Long métrage;JALOUSE;Stéphane et David FOENKINOS;MANDARIN PRODUCTION;29 rue des vinaigriers, 75010 paris;75010;2017-02-27;2017-02-27;2.36253764;48.87310137;"{""type"": ""Point"", ""coordinates"": [2.3625376435397802, 48.87310136620664]}";48.8731013662,2.36253764354
2017-58;2017;Long métrage;La Femme la plus assassinée du monde;Franck Ribiere;Polaris Film;29 rue berthe, 75018 paris;75018;2017-03-09;2017-03-10;2.34046409;48.88534198;"{""type"": ""Point"", ""coordinates"": [2.340464090163196, 48.88534198225594]}";48.8853419823,2.34046409016
2017-308;2017;Série Web;Ramadan à Paris;Pape Amadou SY;Culture Univers;20 rue des gardes, 75018 paris;75018;2017-04-19;2017-04-19;2.35301597;48.88614587;"{""type"": ""Point"", ""coordinates"": [2.353015966114548, 48.88614587302521]}";48.886145873,2.35301596611
2017-317;2017;Téléfilm;JE NE SUIS PAS UN HOMME FACILE;ELEONORE POURRIAT;FILM INVADERS;18 place vendôme, 75001 paris;75001;2017-04-21;2017-04-21;2.33040959;48.86740947;"{""type"": ""Point"", ""coordinates"": [2.330409593084024, 48.867409465203956]}";48.8674094652,2.33040959308
2017-320;2017;Long métrage;Première Année (2ème Partie);Thomas Lilti;LES FILMS DU PARC;rue des carmes, 75005 paris;75005;2017-05-11;2017-05-12;2.3478408;48.8496684;"{""type"": ""Point"", ""coordinates"": [2.347840799444019, 48.849668402860345]}";48.8496684029,2.34784079944
2017-335;2017;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;48 avenue du docteur arnold netter, 75012 paris;75012;2017-08-28;2017-08-28;2.40571945;48.84406451;"{""type"": ""Point"", ""coordinates"": [2.405719447864053, 48.84406451064705]}";48.8440645106,2.40571944786
2017-342;2017;Téléfilm;UN ADULTERE;PHILIPPE HAREL;SCARLETT PRODUCTION;1 rue des périchaux, 75015 paris;75015;2017-09-05;2017-09-05;2.29681175;48.83087879;"{""type"": ""Point"", ""coordinates"": [2.296811749946997, 48.83087878467048]}";48.8308787847,2.29681174995
2017-344;2017;Série TV;THE ROMANOFFS;MATTHEW WEINER;GEM FILMS;66 rue de rivoli, 75004 paris;75004;2017-08-10;2017-08-11;2.35222456;48.85744338;"{""type"": ""Point"", ""coordinates"": [2.352224559626654, 48.85744337755998]}";48.8574433776,2.35222455963
2017-350;2017;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;rue de caumartin, 75009 paris;75009;2017-08-31;2017-08-31;2.3284038;48.87420396;"{""type"": ""Point"", ""coordinates"": [2.328403798091402, 48.87420396086843]}";48.8742039609,2.32840379809
2017-351;2017;Téléfilm;LE TEMPS DES EGARES;VIRGINIE SAUVEUR;DELANTE PRODUCTIONS;17 rue pajol, 75018 paris;75018;2017-08-26;2017-08-26;2.36073114;48.88590672;"{""type"": ""Point"", ""coordinates"": [2.360731138343361, 48.88590672398592]}";48.885906724,2.36073113834
2017-283;2017;Série Web;F2 Football Freestyle Documentary;Richard Jobson;Renowned Films;jardins du trocadero, 75116 paris;75116;2017-04-13;2017-04-13;2.28811871;48.86086946;"{""type"": ""Point"", ""coordinates"": [2.28811871013665, 48.860869460293564]}";48.8608694603,2.28811871014
2017-290;2017;Long métrage;Un cadeau du ciel;;Légendaire;passage josset, 75011 paris;75011;2017-04-13;2017-04-14;2.3765750900000002;48.85264131;"{""type"": ""Point"", ""coordinates"": [2.376575089747718, 48.85264130964355]}";48.8526413096,2.37657508975
2017-154;2017;Long métrage;BELLEVILLE'S COP;Rachid Bouchareb;TESSALIT PRODUCTIONS;60 boulevard de belleville, 75020 paris;75020;2017-04-07;2017-04-07;2.38082915;48.86928694;"{""type"": ""Point"", ""coordinates"": [2.380829151549554, 48.869286936913504]}";48.8692869369,2.38082915155
2017-174;2017;Téléfilm;Si Paris n'était pas joyeux;Zhang bo li et Wang chen Xi;comme une image;172 avenue ledru-rollin, 75011 paris;75011;2017-03-20;2017-03-20;2.37967019;48.85709087;"{""type"": ""Point"", ""coordinates"": [2.379670187807514, 48.85709086797583]}";48.857090868,2.37967018781
2017-515;2017;Long métrage;LA FETE DES MERES;MARIE-CASTILLE MENTION-SCHAAR;WILLOW FILMS;104 avenue ledru-rollin, 75011 paris;75011;2017-09-19;2017-09-20;2.3769140699999998;48.85233442;"{""type"": ""Point"", ""coordinates"": [2.376914068744148, 48.852334417658895]}";48.8523344177,2.37691406874
2017-530;2017;Long métrage;LE POULAIN;Mathieu Sapin;PYRAMIDE PRODUCTIONS;quai d'orsay, 75007 paris;75007;2017-09-19;2017-09-19;2.30995863;48.86256834;"{""type"": ""Point"", ""coordinates"": [2.309958629685734, 48.86256833510384]}";48.8625683351,2.30995862969
2017-533;2017;Série TV;NOX;Mabrouk el Mechri;Gaumont Télévision c/o Gaumont Production Télévision;46 rue de dunkerque, 75009 paris;75009;2017-09-18;2017-09-18;2.34886736;48.88143033;"{""type"": ""Point"", ""coordinates"": [2.348867356252097, 48.881430332529284]}";48.8814303325,2.34886735625
2017-537;2017;Téléfilm;Le Temps des Egarés;Virginie Sauveur;DELANTE PRODUCTIONS;1 parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-09-08;2017-09-08;2.34834717;48.8539284;"{""type"": ""Point"", ""coordinates"": [2.348347168164843, 48.85392839564361]}";48.8539283956,2.34834716816
2017-547;2017;Série TV;Baron noir;Antoine Chevrollier - Ziad Doueiri;KWAI;12 rue de solférino, 75007 paris;75007;2017-09-29;2017-09-29;2.32274565;48.8593827;"{""type"": ""Point"", ""coordinates"": [2.322745653269838, 48.859382701584856]}";48.8593827016,2.32274565327
2017-567;2017;Long métrage;Amanda;Mikhael Hers;Nord-Ouest films;33 rue de fécamp, 75012 paris;75012;2017-09-23;2017-09-23;2.39966482;48.83593087;"{""type"": ""Point"", ""coordinates"": [2.399664817536047, 48.83593087333175]}";48.8359308733,2.39966481754
2017-434;2017;Long métrage;SUN;Jonathan;Rouge International;rue jean-françois lépine, 75018 paris;75018;2017-08-27;2017-08-27;2.35669529;48.88608368;"{""type"": ""Point"", ""coordinates"": [2.356695285497985, 48.88608367931394]}";48.8860836793,2.3566952855
2017-658;2017;Série TV;Joséphine Ange Gardien Tous pour un;Thierry Petit;DEMD PRODUCTIONS;8 rue saint-bernard, 75011 paris;75011;2017-10-11;2017-10-11;2.38164061;48.85097261;"{""type"": ""Point"", ""coordinates"": [2.381640611505562, 48.850972612884824]}";48.8509726129,2.38164061151
2017-673;2017;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489;"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}";48.887404885,2.37872172625
2017-674;2017;Long métrage;Premieres Vacances;Patrick Cassir;The Film;39 quai de la loire, 75019 paris;75019;2017-10-11;2017-10-12;2.37872173;48.88740489;"{""type"": ""Point"", ""coordinates"": [2.378721726249045, 48.887404885029305]}";48.887404885,2.37872172625
2017-399;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;avenue winston churchill, 75008 paris;75008;2017-08-25;2017-08-26;2.3139305;48.866968;"{""type"": ""Point"", ""coordinates"": [2.313930498022448, 48.866968001641524]}";48.8669680016,2.31393049802
2017-401;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;10 avenue d'iéna, 75116 paris;75116;2017-08-24;2017-08-25;2.29321926;48.86378335;"{""type"": ""Point"", ""coordinates"": [2.293219262639846, 48.86378334901927]}";48.863783349,2.29321926264
2017-403;2017;Série TV;Ton ancien toi;Jeffrey Chiang;Paris 818 Média;28 place de la bourse, 75002 paris;75002;2017-08-23;2017-08-24;2.34185526;48.86940492;"{""type"": ""Point"", ""coordinates"": [2.341855261340874, 48.86940491808899]}";48.8694049181,2.34185526134
2017-410;2017;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;21 rue paul albert, 75018 paris;75018;2017-08-23;2017-08-23;2.34507822;48.88746534;"{""type"": ""Point"", ""coordinates"": [2.34507822244101, 48.88746534249334]}";48.8874653425,2.34507822244
2017-416;2017;Long métrage;BAD POEMS;Gabor Reisz;LES FILMS DU BALIBARI;1 place de la république dominicaine, 75008 paris;75008;2017-08-25;2017-08-25;2.30925348;48.88027314;"{""type"": ""Point"", ""coordinates"": [2.309253478937685, 48.88027313670672]}";48.8802731367,2.30925347894
2017-417;2017;Long métrage;Mauvaises Herbes;Kheiron;Païva Films;place de la république, 75011 paris;75011;2017-09-01;2017-09-01;2.36479185;48.86635144;"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}";48.8663514419,2.36479185006
2017-433;2017;Long métrage;SUN;Jonathan;Rouge International;quai de la seine, 75019 paris;75019;2017-08-27;2017-08-27;2.37026782;48.88452068;"{""type"": ""Point"", ""coordinates"": [2.3702678238763433, 48.88452067824849]}";48.8845206782,2.37026782388
2017-825;2017;Série Web;Skam;David Hourrègue;Gétévé Productions;passage du bureau, 75011 paris;75011;2017-10-24;2017-10-24;2.39420177;48.85334616;"{""type"": ""Point"", ""coordinates"": [2.394201771774294, 48.85334616157386]}";48.8533461616,2.39420177177
2017-762;2017;Série Web;ecole de cuisine;Zhou gao wu;comme une image;place de la république, 75011 paris;75011;2017-10-31;2017-10-31;2.36479185;48.86635144;"{""type"": ""Point"", ""coordinates"": [2.364791850060801, 48.86635144192642]}";48.8663514419,2.36479185006
2017-780;2017;Série TV;GENIUS Saison 2 - PICASSO;Ken Biller;Froggie Production - Genius;23 rue des grands augustins, 75006 paris;75006;2017-10-27;2017-10-27;2.34044071;48.8539015;"{""type"": ""Point"", ""coordinates"": [2.34044071214359, 48.853901497407264]}";48.8539014974,2.34044071214
2017-982;2017;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;1 rue des panoyaux, 75020 paris;75020;2017-11-29;2017-11-30;2.38428449;48.86619549;"{""type"": ""Point"", ""coordinates"": [2.384284487464202, 48.866195485114744]}";48.8661954851,2.38428448746
2017-1001;2017;Série TV;New Horizon;M. CHOY CHING SHING CLEMENT;Comme une image;avenue de tourville, 75007 paris;75007;2017-11-23;2017-11-25;2.30854013;48.85401209;"{""type"": ""Point"", ""coordinates"": [2.308540129571629, 48.854012093577516]}";48.8540120936,2.30854012957
2017-1006;2017;Long métrage;SYNONYMES;Nadav Lapid;SBS FILMS;5 place saint-michel, 75005 paris;75005;2017-12-05;2017-12-05;2.3443123999999997;48.85317347;"{""type"": ""Point"", ""coordinates"": [2.344312401618742, 48.853173470054415]}";48.8531734701,2.34431240162
2017-1017;2017;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;3 rue verniquet, 75017 paris;75017;2017-12-07;2017-12-07;2.30047526;48.88689134;"{""type"": ""Point"", ""coordinates"": [2.300475256092261, 48.88689134165308]}";48.8868913417,2.30047525609
2017-1018;2017;Long métrage;TERRITOIRES;DAVID OELHOFFEN;ONE WORLD FILMS;1 rue alphonse de neuville, 75017 paris;75017;2017-12-06;2017-12-06;2.302812;48.88545076;"{""type"": ""Point"", ""coordinates"": [2.302812001205297, 48.88545076018576]}";48.8854507602,2.30281200121
2017-732;2017;Long métrage;VOLTAIRE;Stephen Woolfenden;PENINSULA FILM;rue de vaugirard, 75015 paris;75015;2017-10-12;2017-10-12;2.29436215;48.83626066;"{""type"": ""Point"", ""coordinates"": [2.294362152887592, 48.83626065446609]}";48.8362606545,2.29436215289
2017-1193;2017;Série TV;CHRONIQUES PARISIENNES;ZABOU BREITMAN;LES FILMS DU KIOSQUE;parvis notre-dame place jean-paul ii, 75004 paris;75004;2017-05-19;2017-05-19;2.34742343;48.85356537;"{""type"": ""Point"", ""coordinates"": [2.347423428584993, 48.853565364492596]}";48.8535653645,2.34742342858
2017-1097;2017;Long métrage;une jeunesse dorée;Eva Ionesco;MACASSAR PRODUCTIONS;place goldoni, 75002 paris;75002;2017-12-15;2017-12-16;2.34846874;48.86503152;"{""type"": ""Point"", ""coordinates"": [2.348468737015577, 48.86503152330323]}";48.8650315233,2.34846873702
2017-1106;2017;Téléfilm;LA VIE SAUVE;MARION LAINE;CAMINANDO PRODUCTIONS;13 rue jean macé, 75011 paris;75011;2017-12-19;2017-12-19;2.38342415;48.85310812;"{""type"": ""Point"", ""coordinates"": [2.383424147542494, 48.853108119114566]}";48.8531081191,2.38342414754
2017-1562;2017;Long métrage;La Ch'Tite Famille;;Pathé ProdExé;23 avenue de friedland, 75008 paris;75008;2017-07-20;2017-07-20;2.30184598;48.87429063;"{""type"": ""Point"", ""coordinates"": [2.301845975270081, 48.874290625735796]}";48.8742906257,2.30184597527
2017-898;2017;Série TV;84.2;PLAIGNAUD DENIS;;4 square rapp, 75007 paris;75007;2017-04-29;2017-04-29;2.30108453;48.85864424;"{""type"": ""Point"", ""coordinates"": [2.301084533520865, 48.8586442340847]}";48.8586442341,2.30108453352
